,date,value,name_B084QF6HZV
475,2021-06-07,26222.0,Wall & Tabletop Frames
476,2021-06-08,26222.0,Wall & Tabletop Frames
477,2021-06-09,26222.0,Wall & Tabletop Frames
478,2021-06-10,19764.0,Wall & Tabletop Frames
479,2021-06-11,19764.0,Wall & Tabletop Frames
480,2021-06-12,22383.0,Wall & Tabletop Frames
481,2021-06-13,22383.0,Wall & Tabletop Frames
482,2021-06-14,22383.0,Wall & Tabletop Frames
483,2021-06-15,19954.0,Wall & Tabletop Frames
484,2021-06-16,19203.0,Wall & Tabletop Frames
485,2021-06-17,30902.0,Wall & Tabletop Frames
486,2021-06-18,28846.0,Wall & Tabletop Frames
487,2021-06-19,28846.0,Wall & Tabletop Frames
488,2021-06-20,28846.0,Wall & Tabletop Frames
489,2021-06-21,31972.0,Wall & Tabletop Frames
490,2021-06-22,23596.0,Wall & Tabletop Frames
491,2021-06-23,23075.0,Wall & Tabletop Frames
492,2021-06-24,23075.0,Wall & Tabletop Frames
493,2021-06-25,21545.0,Wall & Tabletop Frames
494,2021-06-26,21545.0,Wall & Tabletop Frames
495,2021-06-27,21545.0,Wall & Tabletop Frames
496,2021-06-28,21545.0,Wall & Tabletop Frames
497,2021-06-29,21545.0,Wall & Tabletop Frames
498,2021-06-30,24781.0,Wall & Tabletop Frames
499,2021-07-01,20597.0,Wall & Tabletop Frames
500,2021-07-02,20597.0,Wall & Tabletop Frames
501,2021-07-03,20597.0,Wall & Tabletop Frames
502,2021-07-04,20597.0,Wall & Tabletop Frames
503,2021-07-05,27371.0,Wall & Tabletop Frames
504,2021-07-06,27371.0,Wall & Tabletop Frames
505,2021-07-07,24830.0,Wall & Tabletop Frames
506,2021-07-08,24830.0,Wall & Tabletop Frames
507,2021-07-09,28447.0,Wall & Tabletop Frames
508,2021-07-10,28447.0,Wall & Tabletop Frames
509,2021-07-11,20396.0,Wall & Tabletop Frames
