,date,value,name_B0714R5SXN
278,2021-03-07,12141.0,Copy & Multipurpose Paper
279,2021-03-08,12141.0,Copy & Multipurpose Paper
280,2021-03-09,7393.0,Copy & Multipurpose Paper
281,2021-03-10,7393.0,Copy & Multipurpose Paper
282,2021-03-11,7393.0,Copy & Multipurpose Paper
283,2021-03-12,7157.0,Copy & Multipurpose Paper
284,2021-03-13,7157.0,Copy & Multipurpose Paper
285,2021-03-14,7157.0,Copy & Multipurpose Paper
286,2021-03-15,6639.0,Copy & Multipurpose Paper
287,2021-03-16,6639.0,Copy & Multipurpose Paper
288,2021-03-17,6639.0,Copy & Multipurpose Paper
289,2021-03-18,6639.0,Copy & Multipurpose Paper
290,2021-03-19,8395.0,Copy & Multipurpose Paper
291,2021-03-20,8395.0,Copy & Multipurpose Paper
292,2021-03-21,13019.0,Copy & Multipurpose Paper
293,2021-03-22,13019.0,Copy & Multipurpose Paper
294,2021-03-23,13019.0,Copy & Multipurpose Paper
295,2021-03-24,13019.0,Copy & Multipurpose Paper
296,2021-03-25,8704.0,Copy & Multipurpose Paper
297,2021-03-26,8704.0,Copy & Multipurpose Paper
298,2021-03-27,8544.0,Copy & Multipurpose Paper
299,2021-03-28,8544.0,Copy & Multipurpose Paper
300,2021-03-29,10476.0,Copy & Multipurpose Paper
301,2021-03-30,10476.0,Copy & Multipurpose Paper
302,2021-03-31,10476.0,Copy & Multipurpose Paper
303,2021-04-01,10476.0,Copy & Multipurpose Paper
304,2021-04-02,7275.0,Copy & Multipurpose Paper
305,2021-04-03,7275.0,Copy & Multipurpose Paper
306,2021-04-04,7275.0,Copy & Multipurpose Paper
307,2021-04-05,7484.0,Copy & Multipurpose Paper
308,2021-04-06,7484.0,Copy & Multipurpose Paper
309,2021-04-07,7484.0,Copy & Multipurpose Paper
310,2021-04-08,10424.0,Copy & Multipurpose Paper
311,2021-04-09,10424.0,Copy & Multipurpose Paper
312,2021-04-10,6419.0,Copy & Multipurpose Paper
313,2021-04-11,6419.0,Copy & Multipurpose Paper
314,2021-04-12,6419.0,Copy & Multipurpose Paper
315,2021-04-13,6419.0,Copy & Multipurpose Paper
316,2021-04-14,9382.0,Copy & Multipurpose Paper
317,2021-04-15,9382.0,Copy & Multipurpose Paper
318,2021-04-16,9382.0,Copy & Multipurpose Paper
319,2021-04-17,9382.0,Copy & Multipurpose Paper
320,2021-04-18,9382.0,Copy & Multipurpose Paper
321,2021-04-19,13323.0,Copy & Multipurpose Paper
322,2021-04-20,13323.0,Copy & Multipurpose Paper
323,2021-04-21,10858.0,Copy & Multipurpose Paper
324,2021-04-22,10528.0,Copy & Multipurpose Paper
325,2021-04-23,10528.0,Copy & Multipurpose Paper
326,2021-04-24,6810.0,Copy & Multipurpose Paper
327,2021-04-25,6810.0,Copy & Multipurpose Paper
328,2021-04-26,7301.0,Copy & Multipurpose Paper
329,2021-04-27,7301.0,Copy & Multipurpose Paper
330,2021-04-28,6711.0,Copy & Multipurpose Paper
331,2021-04-29,6711.0,Copy & Multipurpose Paper
332,2021-04-30,6473.0,Copy & Multipurpose Paper
333,2021-05-01,6473.0,Copy & Multipurpose Paper
334,2021-05-02,6473.0,Copy & Multipurpose Paper
335,2021-05-03,8054.0,Copy & Multipurpose Paper
336,2021-05-04,8054.0,Copy & Multipurpose Paper
337,2021-05-05,8054.0,Copy & Multipurpose Paper
338,2021-05-06,5067.0,Copy & Multipurpose Paper
339,2021-05-07,5067.0,Copy & Multipurpose Paper
340,2021-05-08,5067.0,Copy & Multipurpose Paper
341,2021-05-09,6164.0,Copy & Multipurpose Paper
342,2021-05-10,8720.0,Copy & Multipurpose Paper
343,2021-05-11,8720.0,Copy & Multipurpose Paper
344,2021-05-12,5114.0,Copy & Multipurpose Paper
345,2021-05-13,5114.0,Copy & Multipurpose Paper
346,2021-05-14,4399.0,Copy & Multipurpose Paper
347,2021-05-15,4399.0,Copy & Multipurpose Paper
348,2021-05-16,4399.0,Copy & Multipurpose Paper
349,2021-05-17,4399.0,Copy & Multipurpose Paper
350,2021-05-18,7179.0,Copy & Multipurpose Paper
351,2021-05-19,7179.0,Copy & Multipurpose Paper
352,2021-05-20,4500.0,Copy & Multipurpose Paper
353,2021-05-21,4500.0,Copy & Multipurpose Paper
354,2021-05-22,5452.0,Copy & Multipurpose Paper
355,2021-05-23,5452.0,Copy & Multipurpose Paper
356,2021-05-24,5630.0,Copy & Multipurpose Paper
357,2021-05-25,5630.0,Copy & Multipurpose Paper
358,2021-05-26,7708.0,Copy & Multipurpose Paper
359,2021-05-27,7708.0,Copy & Multipurpose Paper
360,2021-05-28,7708.0,Copy & Multipurpose Paper
361,2021-05-29,7321.0,Copy & Multipurpose Paper
362,2021-05-30,7321.0,Copy & Multipurpose Paper
363,2021-05-31,6295.0,Copy & Multipurpose Paper
364,2021-06-01,6295.0,Copy & Multipurpose Paper
365,2021-06-02,6775.0,Copy & Multipurpose Paper
366,2021-06-03,6775.0,Copy & Multipurpose Paper
367,2021-06-04,6744.0,Copy & Multipurpose Paper
368,2021-06-05,6744.0,Copy & Multipurpose Paper
369,2021-06-06,8209.0,Copy & Multipurpose Paper
370,2021-06-07,8209.0,Copy & Multipurpose Paper
371,2021-06-08,4944.0,Copy & Multipurpose Paper
372,2021-06-09,4944.0,Copy & Multipurpose Paper
373,2021-06-10,4035.0,Copy & Multipurpose Paper
374,2021-06-11,4035.0,Copy & Multipurpose Paper
375,2021-06-12,4035.0,Copy & Multipurpose Paper
376,2021-06-13,4035.0,Copy & Multipurpose Paper
377,2021-06-14,6001.0,Copy & Multipurpose Paper
378,2021-06-15,6001.0,Copy & Multipurpose Paper
379,2021-06-16,4883.0,Copy & Multipurpose Paper
380,2021-06-17,4532.0,Copy & Multipurpose Paper
381,2021-06-18,4099.0,Copy & Multipurpose Paper
382,2021-06-19,4943.0,Copy & Multipurpose Paper
383,2021-06-20,4943.0,Copy & Multipurpose Paper
384,2021-06-21,4979.0,Copy & Multipurpose Paper
385,2021-06-22,6635.0,Copy & Multipurpose Paper
386,2021-06-23,6635.0,Copy & Multipurpose Paper
387,2021-06-24,6635.0,Copy & Multipurpose Paper
388,2021-06-25,5077.0,Copy & Multipurpose Paper
389,2021-06-26,5077.0,Copy & Multipurpose Paper
390,2021-06-27,5077.0,Copy & Multipurpose Paper
391,2021-06-28,5113.0,Copy & Multipurpose Paper
392,2021-06-29,5113.0,Copy & Multipurpose Paper
393,2021-06-30,4517.0,Copy & Multipurpose Paper
394,2021-07-01,4517.0,Copy & Multipurpose Paper
395,2021-07-02,5589.0,Copy & Multipurpose Paper
396,2021-07-03,5589.0,Copy & Multipurpose Paper
397,2021-07-04,4565.0,Copy & Multipurpose Paper
398,2021-07-05,4565.0,Copy & Multipurpose Paper
399,2021-07-06,4565.0,Copy & Multipurpose Paper
400,2021-07-07,3834.0,Copy & Multipurpose Paper
401,2021-07-08,3834.0,Copy & Multipurpose Paper
402,2021-07-09,5322.0,Copy & Multipurpose Paper
403,2021-07-10,5632.0,Copy & Multipurpose Paper
