,date,value,name_B00Q4RRJ1G
371,2021-03-02,14960.0,Ankle Braces
372,2021-03-03,13520.0,Ankle Braces
373,2021-03-04,13658.0,Ankle Braces
374,2021-03-05,12403.0,Ankle Braces
375,2021-03-06,14561.0,Ankle Braces
376,2021-03-07,12671.0,Ankle Braces
377,2021-03-08,13654.0,Ankle Braces
378,2021-03-09,14557.0,Ankle Braces
379,2021-03-10,12866.0,Ankle Braces
380,2021-03-11,13701.0,Ankle Braces
381,2021-03-12,16289.0,Ankle Braces
382,2021-03-13,15802.0,Ankle Braces
383,2021-03-14,16108.0,Ankle Braces
384,2021-03-15,15973.0,Ankle Braces
385,2021-03-16,15973.0,Ankle Braces
386,2021-03-17,14917.0,Ankle Braces
387,2021-03-18,12064.0,Ankle Braces
388,2021-03-19,10745.0,Ankle Braces
389,2021-03-20,10745.0,Ankle Braces
390,2021-03-21,10745.0,Ankle Braces
391,2021-03-22,12852.0,Ankle Braces
392,2021-03-23,12581.0,Ankle Braces
393,2021-03-24,10404.0,Ankle Braces
394,2021-03-25,13391.0,Ankle Braces
395,2021-03-26,14037.0,Ankle Braces
396,2021-03-27,13563.0,Ankle Braces
397,2021-03-28,13563.0,Ankle Braces
398,2021-03-29,15696.0,Ankle Braces
399,2021-03-30,15696.0,Ankle Braces
400,2021-03-31,14623.0,Ankle Braces
401,2021-04-01,12450.0,Ankle Braces
402,2021-04-02,11389.0,Ankle Braces
403,2021-04-03,11389.0,Ankle Braces
404,2021-04-04,12145.0,Ankle Braces
405,2021-04-05,13402.0,Ankle Braces
406,2021-04-06,13257.0,Ankle Braces
407,2021-04-07,13047.0,Ankle Braces
408,2021-04-08,10363.0,Ankle Braces
409,2021-04-09,12776.0,Ankle Braces
410,2021-04-10,12273.0,Ankle Braces
411,2021-04-11,13074.0,Ankle Braces
412,2021-04-12,13074.0,Ankle Braces
413,2021-04-13,13705.0,Ankle Braces
414,2021-04-14,13705.0,Ankle Braces
415,2021-04-15,14091.0,Ankle Braces
416,2021-04-16,13145.0,Ankle Braces
417,2021-04-17,10746.0,Ankle Braces
418,2021-04-18,11575.0,Ankle Braces
419,2021-04-19,13015.0,Ankle Braces
420,2021-04-20,13395.0,Ankle Braces
421,2021-04-21,11334.0,Ankle Braces
422,2021-04-22,13573.0,Ankle Braces
423,2021-04-23,12586.0,Ankle Braces
424,2021-04-24,12387.0,Ankle Braces
425,2021-04-25,12387.0,Ankle Braces
426,2021-04-26,14524.0,Ankle Braces
427,2021-04-27,14240.0,Ankle Braces
428,2021-04-28,14240.0,Ankle Braces
429,2021-04-29,11980.0,Ankle Braces
430,2021-04-30,11980.0,Ankle Braces
