,date,value,name_B089B2P67Z
372,2021-06-06,5442.0,Blood Glucose Monitors
373,2021-06-07,5442.0,Blood Glucose Monitors
374,2021-06-08,6693.0,Blood Glucose Monitors
375,2021-06-09,5573.0,Blood Glucose Monitors
376,2021-06-10,5573.0,Blood Glucose Monitors
377,2021-06-11,4889.0,Blood Glucose Monitors
378,2021-06-12,4889.0,Blood Glucose Monitors
379,2021-06-13,4889.0,Blood Glucose Monitors
380,2021-06-14,6807.0,Blood Glucose Monitors
381,2021-06-15,6807.0,Blood Glucose Monitors
382,2021-06-16,5737.0,Blood Glucose Monitors
383,2021-06-17,5737.0,Blood Glucose Monitors
384,2021-06-18,5737.0,Blood Glucose Monitors
385,2021-06-19,6646.0,Blood Glucose Monitors
386,2021-06-20,6095.0,Blood Glucose Monitors
387,2021-06-21,6243.0,Blood Glucose Monitors
388,2021-06-22,7661.0,Blood Glucose Monitors
389,2021-06-23,7661.0,Blood Glucose Monitors
390,2021-06-24,7661.0,Blood Glucose Monitors
391,2021-06-25,6029.0,Blood Glucose Monitors
392,2021-06-26,5415.0,Blood Glucose Monitors
393,2021-06-27,5415.0,Blood Glucose Monitors
394,2021-06-28,5971.0,Blood Glucose Monitors
395,2021-06-29,4718.0,Blood Glucose Monitors
396,2021-06-30,4426.0,Blood Glucose Monitors
397,2021-07-01,4682.0,Blood Glucose Monitors
398,2021-07-02,4682.0,Blood Glucose Monitors
399,2021-07-03,4747.0,Blood Glucose Monitors
400,2021-07-04,4842.0,Blood Glucose Monitors
401,2021-07-05,4842.0,Blood Glucose Monitors
402,2021-07-06,5370.0,Blood Glucose Monitors
403,2021-07-07,5370.0,Blood Glucose Monitors
404,2021-07-08,5062.0,Blood Glucose Monitors
405,2021-07-09,5062.0,Blood Glucose Monitors
406,2021-07-10,5062.0,Blood Glucose Monitors
407,2021-07-11,5118.0,Blood Glucose Monitors
