,date,value,name_B07CRLFNDG
466,2019-08-11,48280.0,Bath Towels
467,2019-08-12,48280.0,Bath Towels
468,2019-08-13,62384.0,Bath Towels
469,2019-08-14,55850.0,Bath Towels
470,2019-08-15,38446.0,Bath Towels
471,2019-08-16,50763.0,Bath Towels
472,2019-08-17,42409.0,Bath Towels
473,2019-08-18,50004.0,Bath Towels
474,2019-08-19,36781.0,Bath Towels
475,2019-08-20,48671.0,Bath Towels
476,2019-08-21,55205.0,Bath Towels
477,2019-08-22,62850.0,Bath Towels
478,2019-08-23,53734.0,Bath Towels
479,2019-08-24,58633.0,Bath Towels
480,2019-08-25,56923.0,Bath Towels
481,2019-08-26,56923.0,Bath Towels
482,2019-08-27,78441.0,Bath Towels
483,2019-08-28,68829.0,Bath Towels
484,2019-08-29,68320.0,Bath Towels
485,2019-08-30,83949.0,Bath Towels
486,2019-08-31,102033.0,Bath Towels
487,2019-09-01,68358.0,Bath Towels
488,2019-09-02,67846.0,Bath Towels
489,2019-09-03,51918.0,Bath Towels
490,2019-09-04,51918.0,Bath Towels
491,2019-09-05,50465.0,Bath Towels
492,2019-09-06,78856.0,Bath Towels
493,2019-09-07,78856.0,Bath Towels
494,2019-09-08,61978.0,Bath Towels
495,2019-09-09,61978.0,Bath Towels
496,2019-09-10,61978.0,Bath Towels
497,2019-09-11,61978.0,Bath Towels
498,2019-09-12,61978.0,Bath Towels
499,2019-09-13,61978.0,Bath Towels
500,2019-09-14,61978.0,Bath Towels
501,2019-09-15,61978.0,Bath Towels
502,2019-09-16,61978.0,Bath Towels
503,2019-09-17,61978.0,Bath Towels
504,2019-09-18,61978.0,Bath Towels
505,2019-09-19,61978.0,Bath Towels
506,2019-09-20,148261.0,Bath Towels
507,2019-09-21,112435.0,Bath Towels
508,2019-09-22,87440.0,Bath Towels
509,2019-09-23,94563.0,Bath Towels
510,2019-09-24,109420.0,Bath Towels
511,2019-09-25,158534.0,Bath Towels
512,2019-09-26,57508.0,Bath Towels
513,2019-09-27,70278.0,Bath Towels
514,2019-09-28,118417.0,Bath Towels
515,2019-09-29,90196.0,Bath Towels
516,2019-09-30,83010.0,Bath Towels
517,2019-10-01,68010.0,Bath Towels
518,2019-10-02,131653.0,Bath Towels
519,2019-10-03,92976.0,Bath Towels
520,2019-10-04,138952.0,Bath Towels
521,2019-10-05,138952.0,Bath Towels
522,2019-10-06,88379.0,Bath Towels
523,2019-10-07,88379.0,Bath Towels
524,2019-10-08,90734.0,Bath Towels
525,2019-10-09,77127.0,Bath Towels
526,2019-10-10,111780.0,Bath Towels
527,2019-10-11,111780.0,Bath Towels
528,2019-10-12,75343.0,Bath Towels
529,2019-10-13,68832.0,Bath Towels
530,2019-10-14,103148.0,Bath Towels
531,2019-10-15,103148.0,Bath Towels
532,2019-10-16,90762.0,Bath Towels
533,2019-10-17,74500.0,Bath Towels
534,2019-10-18,64197.0,Bath Towels
535,2019-10-19,60830.0,Bath Towels
536,2019-10-20,58064.0,Bath Towels
537,2019-10-21,66052.0,Bath Towels
538,2019-10-22,110934.0,Bath Towels
539,2019-10-23,75436.0,Bath Towels
540,2019-10-24,96829.0,Bath Towels
541,2019-10-25,96829.0,Bath Towels
542,2019-10-26,69261.0,Bath Towels
543,2019-10-27,59155.0,Bath Towels
544,2019-10-28,54959.0,Bath Towels
545,2019-10-29,75201.0,Bath Towels
546,2019-10-30,70108.0,Bath Towels
547,2019-10-31,51792.0,Bath Towels
548,2019-11-01,58634.0,Bath Towels
549,2019-11-02,82725.0,Bath Towels
550,2019-11-03,63788.0,Bath Towels
551,2019-11-04,63788.0,Bath Towels
552,2019-11-05,69368.0,Bath Towels
553,2019-11-06,69368.0,Bath Towels
554,2019-11-07,52697.0,Bath Towels
555,2019-11-08,52697.0,Bath Towels
556,2019-11-09,52697.0,Bath Towels
557,2019-11-10,52697.0,Bath Towels
558,2019-11-11,52697.0,Bath Towels
559,2019-11-12,52697.0,Bath Towels
560,2019-11-13,84890.0,Bath Towels
561,2019-11-14,84890.0,Bath Towels
562,2019-11-15,83925.0,Bath Towels
563,2019-11-16,83925.0,Bath Towels
564,2019-11-17,83925.0,Bath Towels
565,2019-11-18,83925.0,Bath Towels
566,2019-11-19,83925.0,Bath Towels
567,2019-11-20,83925.0,Bath Towels
568,2019-11-21,57117.0,Bath Towels
569,2019-11-22,57117.0,Bath Towels
570,2019-11-23,57117.0,Bath Towels
571,2019-11-24,57117.0,Bath Towels
572,2019-11-25,45752.0,Bath Towels
573,2019-11-26,45752.0,Bath Towels
574,2019-11-27,39107.0,Bath Towels
575,2019-11-28,39107.0,Bath Towels
576,2019-11-29,39107.0,Bath Towels
577,2019-11-30,69546.0,Bath Towels
578,2019-12-01,69546.0,Bath Towels
579,2019-12-02,69546.0,Bath Towels
580,2019-12-03,69546.0,Bath Towels
