,date,value,name_B07JB4NJNN
409,2019-11-26,23165.0,Wall & Tabletop Frames
410,2019-11-27,23165.0,Wall & Tabletop Frames
411,2019-11-28,23165.0,Wall & Tabletop Frames
412,2019-11-29,23165.0,Wall & Tabletop Frames
413,2019-11-30,23165.0,Wall & Tabletop Frames
414,2019-12-01,29648.0,Wall & Tabletop Frames
415,2019-12-02,29648.0,Wall & Tabletop Frames
416,2019-12-03,29648.0,Wall & Tabletop Frames
417,2019-12-04,29648.0,Wall & Tabletop Frames
418,2019-12-05,20379.0,Wall & Tabletop Frames
419,2019-12-06,20379.0,Wall & Tabletop Frames
420,2019-12-07,20379.0,Wall & Tabletop Frames
421,2019-12-08,20379.0,Wall & Tabletop Frames
422,2019-12-09,20379.0,Wall & Tabletop Frames
423,2019-12-10,20379.0,Wall & Tabletop Frames
424,2019-12-11,14481.0,Wall & Tabletop Frames
425,2019-12-12,14481.0,Wall & Tabletop Frames
426,2019-12-13,14481.0,Wall & Tabletop Frames
427,2019-12-14,14481.0,Wall & Tabletop Frames
428,2019-12-15,11493.0,Wall & Tabletop Frames
429,2019-12-16,9448.0,Wall & Tabletop Frames
430,2019-12-17,9448.0,Wall & Tabletop Frames
431,2019-12-18,9448.0,Wall & Tabletop Frames
432,2019-12-19,8879.0,Wall & Tabletop Frames
433,2019-12-20,8180.0,Wall & Tabletop Frames
434,2019-12-21,8180.0,Wall & Tabletop Frames
435,2019-12-22,8180.0,Wall & Tabletop Frames
436,2019-12-23,8132.0,Wall & Tabletop Frames
437,2019-12-24,8132.0,Wall & Tabletop Frames
438,2019-12-25,8132.0,Wall & Tabletop Frames
439,2019-12-26,16468.0,Wall & Tabletop Frames
440,2019-12-27,16468.0,Wall & Tabletop Frames
441,2019-12-28,16468.0,Wall & Tabletop Frames
442,2019-12-29,16468.0,Wall & Tabletop Frames
443,2019-12-30,21131.0,Wall & Tabletop Frames
444,2019-12-31,21131.0,Wall & Tabletop Frames
445,2020-01-01,21131.0,Wall & Tabletop Frames
