,date,value,name_B079LW6BNP
570,2020-02-09,601.0,Container Sets
571,2020-02-10,601.0,Container Sets
572,2020-02-11,526.0,Container Sets
573,2020-02-12,526.0,Container Sets
574,2020-02-13,526.0,Container Sets
575,2020-02-14,599.0,Container Sets
576,2020-02-15,642.0,Container Sets
577,2020-02-16,642.0,Container Sets
578,2020-02-17,642.0,Container Sets
579,2020-02-18,642.0,Container Sets
580,2020-02-19,750.0,Container Sets
581,2020-02-20,571.0,Container Sets
582,2020-02-21,590.0,Container Sets
583,2020-02-22,590.0,Container Sets
584,2020-02-23,590.0,Container Sets
585,2020-02-24,196.0,Container Sets
586,2020-02-25,196.0,Container Sets
587,2020-02-26,356.0,Container Sets
588,2020-02-27,356.0,Container Sets
589,2020-02-28,540.0,Container Sets
590,2020-02-29,540.0,Container Sets
591,2020-03-01,540.0,Container Sets
592,2020-03-02,451.0,Container Sets
593,2020-03-03,441.0,Container Sets
594,2020-03-04,522.0,Container Sets
595,2020-03-05,541.0,Container Sets
596,2020-03-06,541.0,Container Sets
597,2020-03-07,-1.0,Container Sets
