,date,value,name_B07K2P1HTV
438,2020-01-28,33455.0,Panels
439,2020-01-29,28181.0,Panels
440,2020-01-30,28181.0,Panels
441,2020-01-31,28181.0,Panels
442,2020-02-01,25022.0,Panels
443,2020-02-02,25022.0,Panels
444,2020-02-03,25022.0,Panels
445,2020-02-04,25022.0,Panels
446,2020-02-05,25022.0,Panels
447,2020-02-06,28921.0,Panels
448,2020-02-07,28921.0,Panels
449,2020-02-08,28921.0,Panels
450,2020-02-09,17749.0,Panels
451,2020-02-10,17749.0,Panels
452,2020-02-11,17749.0,Panels
453,2020-02-12,17749.0,Panels
454,2020-02-13,20991.0,Panels
455,2020-02-14,20991.0,Panels
456,2020-02-15,20991.0,Panels
457,2020-02-16,20991.0,Panels
458,2020-02-17,28325.0,Panels
459,2020-02-18,28325.0,Panels
460,2020-02-19,28325.0,Panels
461,2020-02-20,26132.0,Panels
462,2020-02-21,26132.0,Panels
463,2020-02-22,26132.0,Panels
464,2020-02-23,34307.0,Panels
465,2020-02-24,34307.0,Panels
466,2020-02-25,21861.0,Panels
467,2020-02-26,21861.0,Panels
468,2020-02-27,21861.0,Panels
469,2020-02-28,21861.0,Panels
470,2020-02-29,21861.0,Panels
471,2020-03-01,20974.0,Panels
472,2020-03-02,20974.0,Panels
473,2020-03-03,20974.0,Panels
474,2020-03-04,20974.0,Panels
475,2020-03-05,23624.0,Panels
476,2020-03-06,23624.0,Panels
477,2020-03-07,23624.0,Panels
478,2020-03-08,27633.0,Panels
479,2020-03-09,29135.0,Panels
480,2020-03-10,29135.0,Panels
481,2020-03-11,29135.0,Panels
482,2020-03-12,50930.0,Panels
483,2020-03-13,50930.0,Panels
484,2020-03-14,50930.0,Panels
485,2020-03-15,41677.0,Panels
486,2020-03-16,29424.0,Panels
487,2020-03-17,29424.0,Panels
488,2020-03-18,29424.0,Panels
489,2020-03-19,29424.0,Panels
490,2020-03-20,29424.0,Panels
491,2020-03-21,31091.0,Panels
492,2020-03-22,31091.0,Panels
493,2020-03-23,31091.0,Panels
494,2020-03-24,31091.0,Panels
495,2020-03-25,31091.0,Panels
496,2020-03-26,28735.0,Panels
497,2020-03-27,28735.0,Panels
498,2020-03-28,28735.0,Panels
499,2020-03-29,28735.0,Panels
500,2020-03-30,30065.0,Panels
501,2020-03-31,30065.0,Panels
502,2020-04-01,30065.0,Panels
503,2020-04-02,30676.0,Panels
504,2020-04-03,30676.0,Panels
505,2020-04-04,23514.0,Panels
506,2020-04-05,23514.0,Panels
507,2020-04-06,23514.0,Panels
508,2020-04-07,19204.0,Panels
509,2020-04-08,19204.0,Panels
510,2020-04-09,19204.0,Panels
511,2020-04-10,24841.0,Panels
512,2020-04-11,24841.0,Panels
513,2020-04-12,24841.0,Panels
514,2020-04-13,26994.0,Panels
515,2020-04-14,26994.0,Panels
516,2020-04-15,24981.0,Panels
517,2020-04-16,24981.0,Panels
518,2020-04-17,24981.0,Panels
519,2020-04-18,24981.0,Panels
520,2020-04-19,24981.0,Panels
521,2020-04-20,23482.0,Panels
522,2020-04-21,23482.0,Panels
523,2020-04-22,22808.0,Panels
524,2020-04-23,22808.0,Panels
525,2020-04-24,22808.0,Panels
526,2020-04-25,22808.0,Panels
527,2020-04-26,24352.0,Panels
528,2020-04-27,26608.0,Panels
529,2020-04-28,26608.0,Panels
530,2020-04-29,26608.0,Panels
531,2020-04-30,25728.0,Panels
532,2020-05-01,25728.0,Panels
533,2020-05-02,25728.0,Panels
534,2020-05-03,21142.0,Panels
535,2020-05-04,21142.0,Panels
536,2020-05-05,29329.0,Panels
537,2020-05-06,29329.0,Panels
538,2020-05-07,29329.0,Panels
539,2020-05-08,27546.0,Panels
540,2020-05-09,27546.0,Panels
541,2020-05-10,27546.0,Panels
542,2020-05-11,27546.0,Panels
543,2020-05-12,27546.0,Panels
544,2020-05-13,27546.0,Panels
545,2020-05-14,31640.0,Panels
546,2020-05-15,31640.0,Panels
547,2020-05-16,31640.0,Panels
548,2020-05-17,31640.0,Panels
549,2020-05-18,28382.0,Panels
550,2020-05-19,25493.0,Panels
551,2020-05-20,25493.0,Panels
552,2020-05-21,25493.0,Panels
553,2020-05-22,26099.0,Panels
554,2020-05-23,24630.0,Panels
555,2020-05-24,24630.0,Panels
556,2020-05-25,34882.0,Panels
557,2020-05-26,34882.0,Panels
558,2020-05-27,34882.0,Panels
559,2020-05-28,37514.0,Panels
560,2020-05-29,37514.0,Panels
561,2020-05-30,37514.0,Panels
562,2020-05-31,44796.0,Panels
563,2020-06-01,44796.0,Panels
564,2020-06-02,35365.0,Panels
565,2020-06-03,35365.0,Panels
566,2020-06-04,35365.0,Panels
567,2020-06-05,35365.0,Panels
568,2020-06-06,38708.0,Panels
569,2020-06-07,34514.0,Panels
570,2020-06-08,36776.0,Panels
571,2020-06-09,36776.0,Panels
572,2020-06-10,36776.0,Panels
573,2020-06-11,36776.0,Panels
574,2020-06-12,26979.0,Panels
575,2020-06-13,26979.0,Panels
576,2020-06-14,26254.0,Panels
577,2020-06-15,26254.0,Panels
578,2020-06-16,24731.0,Panels
579,2020-06-17,24731.0,Panels
580,2020-06-18,24731.0,Panels
581,2020-06-19,24731.0,Panels
582,2020-06-20,24731.0,Panels
583,2020-06-21,25601.0,Panels
584,2020-06-22,25601.0,Panels
585,2020-06-23,32629.0,Panels
586,2020-06-24,32629.0,Panels
587,2020-06-25,34694.0,Panels
588,2020-06-26,34694.0,Panels
589,2020-06-27,31236.0,Panels
590,2020-06-28,39731.0,Panels
591,2020-06-29,39731.0,Panels
592,2020-06-30,39731.0,Panels
593,2020-07-01,26422.0,Panels
594,2020-07-02,29730.0,Panels
595,2020-07-03,29730.0,Panels
596,2020-07-04,35065.0,Panels
597,2020-07-05,35065.0,Panels
598,2020-07-06,35065.0,Panels
599,2020-07-07,37432.0,Panels
600,2020-07-08,37432.0,Panels
601,2020-07-09,37432.0,Panels
602,2020-07-10,45923.0,Panels
603,2020-07-11,45923.0,Panels
604,2020-07-12,45923.0,Panels
605,2020-07-13,27638.0,Panels
606,2020-07-14,27638.0,Panels
607,2020-07-15,27638.0,Panels
608,2020-07-16,26168.0,Panels
609,2020-07-17,25421.0,Panels
610,2020-07-18,25421.0,Panels
611,2020-07-19,25421.0,Panels
612,2020-07-20,35517.0,Panels
613,2020-07-21,35517.0,Panels
614,2020-07-22,35517.0,Panels
615,2020-07-23,28411.0,Panels
616,2020-07-24,30422.0,Panels
617,2020-07-25,30422.0,Panels
618,2020-07-26,22999.0,Panels
619,2020-07-27,22999.0,Panels
620,2020-07-28,22999.0,Panels
621,2020-07-29,25384.0,Panels
622,2020-07-30,26210.0,Panels
623,2020-07-31,26210.0,Panels
624,2020-08-01,26210.0,Panels
625,2020-08-02,26210.0,Panels
626,2020-08-03,24899.0,Panels
627,2020-08-04,24899.0,Panels
628,2020-08-05,24899.0,Panels
629,2020-08-06,16180.0,Panels
630,2020-08-07,16180.0,Panels
631,2020-08-08,23724.0,Panels
632,2020-08-09,23724.0,Panels
633,2020-08-10,29128.0,Panels
634,2020-08-11,29128.0,Panels
635,2020-08-12,29128.0,Panels
636,2020-08-13,22254.0,Panels
637,2020-08-14,22254.0,Panels
638,2020-08-15,22254.0,Panels
639,2020-08-16,22254.0,Panels
640,2020-08-17,27465.0,Panels
641,2020-08-18,33274.0,Panels
642,2020-08-19,33274.0,Panels
643,2020-08-20,30684.0,Panels
644,2020-08-21,30684.0,Panels
645,2020-08-22,30684.0,Panels
646,2020-08-23,23561.0,Panels
647,2020-08-24,23561.0,Panels
648,2020-08-25,27391.0,Panels
649,2020-08-26,25773.0,Panels
650,2020-08-27,30281.0,Panels
651,2020-08-28,23629.0,Panels
652,2020-08-29,28252.0,Panels
653,2020-08-30,28252.0,Panels
654,2020-08-31,28252.0,Panels
655,2020-09-01,40361.0,Panels
656,2020-09-02,40361.0,Panels
657,2020-09-03,40361.0,Panels
658,2020-09-04,25282.0,Panels
659,2020-09-05,22774.0,Panels
660,2020-09-06,23142.0,Panels
