,date,value,name_B084C1F1PD
475,2021-05-27,15225.0,Kitchen Trash Cans
476,2021-05-28,15225.0,Kitchen Trash Cans
477,2021-05-29,11450.0,Kitchen Trash Cans
478,2021-05-30,11450.0,Kitchen Trash Cans
479,2021-05-31,11450.0,Kitchen Trash Cans
480,2021-06-01,11170.0,Kitchen Trash Cans
481,2021-06-02,9765.0,Kitchen Trash Cans
482,2021-06-03,9807.0,Kitchen Trash Cans
483,2021-06-04,10815.0,Kitchen Trash Cans
484,2021-06-05,10815.0,Kitchen Trash Cans
485,2021-06-06,10815.0,Kitchen Trash Cans
486,2021-06-07,9304.0,Kitchen Trash Cans
487,2021-06-08,12789.0,Kitchen Trash Cans
488,2021-06-09,12789.0,Kitchen Trash Cans
489,2021-06-10,12516.0,Kitchen Trash Cans
490,2021-06-11,13498.0,Kitchen Trash Cans
491,2021-06-12,13498.0,Kitchen Trash Cans
492,2021-06-13,10667.0,Kitchen Trash Cans
493,2021-06-14,10667.0,Kitchen Trash Cans
494,2021-06-15,10667.0,Kitchen Trash Cans
495,2021-06-16,12130.0,Kitchen Trash Cans
496,2021-06-17,11536.0,Kitchen Trash Cans
497,2021-06-18,11536.0,Kitchen Trash Cans
498,2021-06-19,17971.0,Kitchen Trash Cans
499,2021-06-20,20954.0,Kitchen Trash Cans
500,2021-06-21,17242.0,Kitchen Trash Cans
501,2021-06-22,17242.0,Kitchen Trash Cans
502,2021-06-23,22463.0,Kitchen Trash Cans
503,2021-06-24,18819.0,Kitchen Trash Cans
504,2021-06-25,17328.0,Kitchen Trash Cans
505,2021-06-26,17328.0,Kitchen Trash Cans
506,2021-06-27,18756.0,Kitchen Trash Cans
507,2021-06-28,18756.0,Kitchen Trash Cans
508,2021-06-29,18863.0,Kitchen Trash Cans
509,2021-06-30,18863.0,Kitchen Trash Cans
510,2021-07-01,26746.0,Kitchen Trash Cans
511,2021-07-02,15129.0,Kitchen Trash Cans
512,2021-07-03,15129.0,Kitchen Trash Cans
513,2021-07-04,15129.0,Kitchen Trash Cans
514,2021-07-05,15129.0,Kitchen Trash Cans
515,2021-07-06,8739.0,Kitchen Trash Cans
516,2021-07-07,9466.0,Kitchen Trash Cans
517,2021-07-08,9084.0,Kitchen Trash Cans
518,2021-07-09,8499.0,Kitchen Trash Cans
519,2021-07-10,7026.0,Kitchen Trash Cans
