,date,value,name_B07TK1S6C7
325,2021-05-10,313.0,Fertilizers & Plant Food
326,2021-05-11,295.0,Fertilizers & Plant Food
327,2021-05-12,295.0,Fertilizers & Plant Food
328,2021-05-13,269.0,Fertilizers & Plant Food
329,2021-05-14,269.0,Fertilizers & Plant Food
330,2021-05-15,309.0,Fertilizers & Plant Food
331,2021-05-16,309.0,Fertilizers & Plant Food
332,2021-05-17,296.0,Fertilizers & Plant Food
333,2021-05-18,296.0,Fertilizers & Plant Food
334,2021-05-19,236.0,Fertilizers & Plant Food
335,2021-05-20,259.0,Fertilizers & Plant Food
336,2021-05-21,259.0,Fertilizers & Plant Food
337,2021-05-22,234.0,Fertilizers & Plant Food
338,2021-05-23,234.0,Fertilizers & Plant Food
339,2021-05-24,244.0,Fertilizers & Plant Food
340,2021-05-25,244.0,Fertilizers & Plant Food
341,2021-05-26,304.0,Fertilizers & Plant Food
342,2021-05-27,304.0,Fertilizers & Plant Food
343,2021-05-28,327.0,Fertilizers & Plant Food
344,2021-05-29,384.0,Fertilizers & Plant Food
345,2021-05-30,384.0,Fertilizers & Plant Food
346,2021-05-31,340.0,Fertilizers & Plant Food
347,2021-06-01,340.0,Fertilizers & Plant Food
348,2021-06-02,382.0,Fertilizers & Plant Food
349,2021-06-03,382.0,Fertilizers & Plant Food
350,2021-06-04,385.0,Fertilizers & Plant Food
351,2021-06-05,385.0,Fertilizers & Plant Food
352,2021-06-06,525.0,Fertilizers & Plant Food
353,2021-06-07,525.0,Fertilizers & Plant Food
354,2021-06-08,715.0,Fertilizers & Plant Food
355,2021-06-09,715.0,Fertilizers & Plant Food
356,2021-06-10,562.0,Fertilizers & Plant Food
357,2021-06-11,562.0,Fertilizers & Plant Food
358,2021-06-12,561.0,Fertilizers & Plant Food
359,2021-06-13,561.0,Fertilizers & Plant Food
360,2021-06-14,627.0,Fertilizers & Plant Food
361,2021-06-15,627.0,Fertilizers & Plant Food
362,2021-06-16,627.0,Fertilizers & Plant Food
363,2021-06-17,570.0,Fertilizers & Plant Food
364,2021-06-18,570.0,Fertilizers & Plant Food
365,2021-06-19,484.0,Fertilizers & Plant Food
366,2021-06-20,597.0,Fertilizers & Plant Food
367,2021-06-21,597.0,Fertilizers & Plant Food
368,2021-06-22,430.0,Fertilizers & Plant Food
369,2021-06-23,430.0,Fertilizers & Plant Food
370,2021-06-24,396.0,Fertilizers & Plant Food
371,2021-06-25,396.0,Fertilizers & Plant Food
372,2021-06-26,396.0,Fertilizers & Plant Food
373,2021-06-27,511.0,Fertilizers & Plant Food
374,2021-06-28,511.0,Fertilizers & Plant Food
375,2021-06-29,441.0,Fertilizers & Plant Food
376,2021-06-30,441.0,Fertilizers & Plant Food
377,2021-07-01,363.0,Fertilizers & Plant Food
378,2021-07-02,363.0,Fertilizers & Plant Food
379,2021-07-03,363.0,Fertilizers & Plant Food
380,2021-07-04,256.0,Fertilizers & Plant Food
381,2021-07-05,256.0,Fertilizers & Plant Food
382,2021-07-06,717.0,Fertilizers & Plant Food
383,2021-07-07,717.0,Fertilizers & Plant Food
384,2021-07-08,639.0,Fertilizers & Plant Food
385,2021-07-09,639.0,Fertilizers & Plant Food
386,2021-07-10,680.0,Fertilizers & Plant Food
387,2021-07-11,592.0,Fertilizers & Plant Food
