,date,value,name_B07TXBZW33
328,2021-04-26,6264.0,Filters
329,2021-04-27,6264.0,Filters
330,2021-04-28,6264.0,Filters
331,2021-04-29,5987.0,Filters
332,2021-04-30,5987.0,Filters
333,2021-05-01,5987.0,Filters
334,2021-05-02,5987.0,Filters
335,2021-05-03,5987.0,Filters
336,2021-05-04,5439.0,Filters
337,2021-05-05,5439.0,Filters
338,2021-05-06,5564.0,Filters
339,2021-05-07,5564.0,Filters
340,2021-05-08,5564.0,Filters
341,2021-05-09,5564.0,Filters
342,2021-05-10,6259.0,Filters
343,2021-05-11,6145.0,Filters
344,2021-05-12,6145.0,Filters
345,2021-05-13,4996.0,Filters
346,2021-05-14,4996.0,Filters
347,2021-05-15,4996.0,Filters
348,2021-05-16,5446.0,Filters
349,2021-05-17,5446.0,Filters
350,2021-05-18,5623.0,Filters
351,2021-05-19,4722.0,Filters
352,2021-05-20,5436.0,Filters
353,2021-05-21,5436.0,Filters
354,2021-05-22,5436.0,Filters
355,2021-05-23,5595.0,Filters
356,2021-05-24,5595.0,Filters
357,2021-05-25,5995.0,Filters
358,2021-05-26,5995.0,Filters
359,2021-05-27,5995.0,Filters
360,2021-05-28,5190.0,Filters
361,2021-05-29,5190.0,Filters
362,2021-05-30,5190.0,Filters
363,2021-05-31,4328.0,Filters
364,2021-06-01,4328.0,Filters
365,2021-06-02,5160.0,Filters
366,2021-06-03,5160.0,Filters
367,2021-06-04,4598.0,Filters
368,2021-06-05,4598.0,Filters
369,2021-06-06,5549.0,Filters
370,2021-06-07,5549.0,Filters
371,2021-06-08,5065.0,Filters
372,2021-06-09,5065.0,Filters
373,2021-06-10,5390.0,Filters
374,2021-06-11,5390.0,Filters
375,2021-06-12,4886.0,Filters
376,2021-06-13,4886.0,Filters
377,2021-06-14,4886.0,Filters
378,2021-06-15,4618.0,Filters
379,2021-06-16,4618.0,Filters
380,2021-06-17,4912.0,Filters
381,2021-06-18,4912.0,Filters
382,2021-06-19,4912.0,Filters
383,2021-06-20,4277.0,Filters
384,2021-06-21,4771.0,Filters
385,2021-06-22,5584.0,Filters
386,2021-06-23,5584.0,Filters
387,2021-06-24,5584.0,Filters
388,2021-06-25,5338.0,Filters
389,2021-06-26,5338.0,Filters
390,2021-06-27,5534.0,Filters
391,2021-06-28,5534.0,Filters
392,2021-06-29,4565.0,Filters
393,2021-06-30,4727.0,Filters
394,2021-07-01,4240.0,Filters
395,2021-07-02,4240.0,Filters
396,2021-07-03,5833.0,Filters
397,2021-07-04,5833.0,Filters
398,2021-07-05,5833.0,Filters
399,2021-07-06,5379.0,Filters
400,2021-07-07,5379.0,Filters
401,2021-07-08,5379.0,Filters
402,2021-07-09,6235.0,Filters
403,2021-07-10,6235.0,Filters
404,2021-07-11,6184.0,Filters
