,date,value,name_B07YV8KSBT
493,2021-04-29,666.0,Pillowcases
494,2021-04-30,692.0,Pillowcases
495,2021-05-01,673.0,Pillowcases
496,2021-05-02,595.0,Pillowcases
497,2021-05-03,649.0,Pillowcases
498,2021-05-04,615.0,Pillowcases
499,2021-05-05,732.0,Pillowcases
500,2021-05-06,751.0,Pillowcases
501,2021-05-07,877.0,Pillowcases
502,2021-05-08,743.0,Pillowcases
503,2021-05-09,670.0,Pillowcases
504,2021-05-10,669.0,Pillowcases
505,2021-05-11,593.0,Pillowcases
506,2021-05-12,617.0,Pillowcases
507,2021-05-13,714.0,Pillowcases
508,2021-05-14,795.0,Pillowcases
509,2021-05-15,878.0,Pillowcases
510,2021-05-16,994.0,Pillowcases
511,2021-05-17,842.0,Pillowcases
512,2021-05-18,956.0,Pillowcases
513,2021-05-19,995.0,Pillowcases
514,2021-05-20,920.0,Pillowcases
515,2021-05-21,1302.0,Pillowcases
516,2021-05-22,1760.0,Pillowcases
517,2021-05-23,1705.0,Pillowcases
518,2021-05-24,1420.0,Pillowcases
519,2021-05-25,1798.0,Pillowcases
520,2021-05-26,2520.0,Pillowcases
521,2021-05-27,2999.0,Pillowcases
522,2021-05-28,2871.0,Pillowcases
523,2021-05-29,3876.0,Pillowcases
524,2021-05-30,5317.0,Pillowcases
525,2021-05-31,7231.0,Pillowcases
526,2021-06-01,7417.0,Pillowcases
527,2021-06-02,8408.0,Pillowcases
528,2021-06-03,9240.0,Pillowcases
529,2021-06-04,11138.0,Pillowcases
530,2021-06-05,10857.0,Pillowcases
531,2021-06-06,11328.0,Pillowcases
532,2021-06-07,13912.0,Pillowcases
533,2021-06-08,14163.0,Pillowcases
534,2021-06-09,14102.0,Pillowcases
535,2021-06-10,14279.0,Pillowcases
536,2021-06-11,13755.0,Pillowcases
537,2021-06-12,13639.0,Pillowcases
538,2021-06-13,14359.0,Pillowcases
539,2021-06-14,14272.0,Pillowcases
540,2021-06-15,739593.0,Pillowcases
541,2021-06-16,803577.0,Pillowcases
542,2021-06-17,16258.0,Pillowcases
543,2021-06-18,18854.0,Pillowcases
544,2021-06-19,17027.0,Pillowcases
545,2021-06-20,17875.0,Pillowcases
546,2021-06-21,18953.0,Pillowcases
547,2021-06-22,24985.0,Pillowcases
548,2021-06-23,24985.0,Pillowcases
549,2021-06-24,17869.0,Pillowcases
550,2021-06-25,16098.0,Pillowcases
551,2021-06-26,16822.0,Pillowcases
552,2021-06-27,14783.0,Pillowcases
553,2021-06-28,16627.0,Pillowcases
554,2021-06-29,13425.0,Pillowcases
555,2021-06-30,11158.0,Pillowcases
556,2021-07-01,12058.0,Pillowcases
557,2021-07-02,14171.0,Pillowcases
558,2021-07-03,12063.0,Pillowcases
559,2021-07-04,719268.0,Pillowcases
560,2021-07-05,777220.0,Pillowcases
561,2021-07-06,860605.0,Pillowcases
562,2021-07-07,900467.0,Pillowcases
563,2021-07-08,919924.0,Pillowcases
564,2021-07-09,938418.0,Pillowcases
