,date,value,name_B076YGNW2Z
456,2019-02-13,31858.0,Reading Glasses
457,2019-02-14,66256.0,Reading Glasses
458,2019-02-15,66256.0,Reading Glasses
459,2019-02-16,66256.0,Reading Glasses
460,2019-02-17,51180.0,Reading Glasses
461,2019-02-18,51127.0,Reading Glasses
462,2019-02-19,51127.0,Reading Glasses
463,2019-02-20,51127.0,Reading Glasses
464,2019-02-21,51127.0,Reading Glasses
465,2019-02-22,32368.0,Reading Glasses
466,2019-02-23,30955.0,Reading Glasses
467,2019-02-24,32742.0,Reading Glasses
468,2019-02-25,32742.0,Reading Glasses
469,2019-02-26,32742.0,Reading Glasses
470,2019-02-27,32742.0,Reading Glasses
471,2019-02-28,32742.0,Reading Glasses
472,2019-03-01,32742.0,Reading Glasses
473,2019-03-02,40365.0,Reading Glasses
474,2019-03-03,40365.0,Reading Glasses
475,2019-03-04,40365.0,Reading Glasses
476,2019-03-05,40365.0,Reading Glasses
477,2019-03-06,42091.0,Reading Glasses
478,2019-03-07,42091.0,Reading Glasses
479,2019-03-08,41046.0,Reading Glasses
480,2019-03-09,41046.0,Reading Glasses
481,2019-03-10,41046.0,Reading Glasses
482,2019-03-11,22778.0,Reading Glasses
483,2019-03-12,25704.0,Reading Glasses
484,2019-03-13,25704.0,Reading Glasses
485,2019-03-14,20900.0,Reading Glasses
486,2019-03-15,22355.0,Reading Glasses
487,2019-03-16,22355.0,Reading Glasses
488,2019-03-17,22355.0,Reading Glasses
489,2019-03-18,22355.0,Reading Glasses
490,2019-03-19,22355.0,Reading Glasses
491,2019-03-20,39043.0,Reading Glasses
492,2019-03-21,41411.0,Reading Glasses
493,2019-03-22,41692.0,Reading Glasses
494,2019-03-23,41692.0,Reading Glasses
495,2019-03-24,17772.0,Reading Glasses
496,2019-03-25,22973.0,Reading Glasses
497,2019-03-26,22973.0,Reading Glasses
498,2019-03-27,35650.0,Reading Glasses
499,2019-03-28,35650.0,Reading Glasses
500,2019-03-29,35650.0,Reading Glasses
