,date,value,name_B084ZF3695
484,2021-06-23,8295.0,Shower Curtain Liners
485,2021-06-24,7705.0,Shower Curtain Liners
486,2021-06-25,6776.0,Shower Curtain Liners
487,2021-06-26,6776.0,Shower Curtain Liners
488,2021-06-27,5656.0,Shower Curtain Liners
489,2021-06-28,5684.0,Shower Curtain Liners
490,2021-06-29,4055.0,Shower Curtain Liners
491,2021-06-30,3975.0,Shower Curtain Liners
492,2021-07-01,3027.0,Shower Curtain Liners
493,2021-07-02,3013.0,Shower Curtain Liners
494,2021-07-03,3013.0,Shower Curtain Liners
495,2021-07-04,2482.0,Shower Curtain Liners
496,2021-07-05,2909.0,Shower Curtain Liners
497,2021-07-06,2909.0,Shower Curtain Liners
498,2021-07-07,4106.0,Shower Curtain Liners
499,2021-07-08,4106.0,Shower Curtain Liners
500,2021-07-09,3736.0,Shower Curtain Liners
501,2021-07-10,4070.0,Shower Curtain Liners
