,date,value,name_B086LL5SC6
338,2021-04-28,9679.0,Ointments
339,2021-04-29,9679.0,Ointments
340,2021-04-30,9237.0,Ointments
341,2021-05-01,8727.0,Ointments
342,2021-05-02,8727.0,Ointments
343,2021-05-03,7630.0,Ointments
344,2021-05-04,7630.0,Ointments
345,2021-05-05,8200.0,Ointments
346,2021-05-06,8200.0,Ointments
347,2021-05-07,8301.0,Ointments
348,2021-05-08,8301.0,Ointments
349,2021-05-09,8988.0,Ointments
350,2021-05-10,7241.0,Ointments
351,2021-05-11,9404.0,Ointments
352,2021-05-12,8945.0,Ointments
353,2021-05-13,8945.0,Ointments
354,2021-05-14,8945.0,Ointments
355,2021-05-15,8487.0,Ointments
356,2021-05-16,8487.0,Ointments
357,2021-05-17,6699.0,Ointments
358,2021-05-18,6699.0,Ointments
359,2021-05-19,6982.0,Ointments
360,2021-05-20,7381.0,Ointments
361,2021-05-21,5189.0,Ointments
362,2021-05-22,5189.0,Ointments
363,2021-05-23,5154.0,Ointments
364,2021-05-24,4022.0,Ointments
365,2021-05-25,4932.0,Ointments
366,2021-05-26,4932.0,Ointments
367,2021-05-27,5133.0,Ointments
368,2021-05-28,5133.0,Ointments
369,2021-05-29,6993.0,Ointments
370,2021-05-30,6993.0,Ointments
371,2021-05-31,5804.0,Ointments
372,2021-06-01,5968.0,Ointments
373,2021-06-02,5917.0,Ointments
374,2021-06-03,6021.0,Ointments
375,2021-06-04,6021.0,Ointments
376,2021-06-05,6793.0,Ointments
377,2021-06-06,6793.0,Ointments
378,2021-06-07,5840.0,Ointments
379,2021-06-08,5840.0,Ointments
380,2021-06-09,7356.0,Ointments
381,2021-06-10,7823.0,Ointments
382,2021-06-11,7823.0,Ointments
383,2021-06-12,7823.0,Ointments
384,2021-06-13,6881.0,Ointments
385,2021-06-14,6881.0,Ointments
386,2021-06-15,6060.0,Ointments
387,2021-06-16,6060.0,Ointments
388,2021-06-17,6113.0,Ointments
389,2021-06-18,5989.0,Ointments
390,2021-06-19,6159.0,Ointments
391,2021-06-20,6159.0,Ointments
392,2021-06-21,3999.0,Ointments
393,2021-06-22,5406.0,Ointments
394,2021-06-23,5813.0,Ointments
395,2021-06-24,5813.0,Ointments
396,2021-06-25,5813.0,Ointments
397,2021-06-26,4601.0,Ointments
398,2021-06-27,4601.0,Ointments
399,2021-06-28,4755.0,Ointments
400,2021-06-29,5613.0,Ointments
401,2021-06-30,5613.0,Ointments
402,2021-07-01,5613.0,Ointments
403,2021-07-02,4915.0,Ointments
404,2021-07-03,4915.0,Ointments
405,2021-07-04,5216.0,Ointments
406,2021-07-05,5216.0,Ointments
407,2021-07-06,4592.0,Ointments
408,2021-07-07,4746.0,Ointments
409,2021-07-08,4746.0,Ointments
410,2021-07-09,4422.0,Ointments
411,2021-07-10,4422.0,Ointments
412,2021-07-11,4358.0,Ointments
