,date,value,name_B07YB6HSB7
284,2020-07-06,81625.0,Wall & Tabletop Frames
285,2020-07-07,81625.0,Wall & Tabletop Frames
286,2020-07-08,51200.0,Wall & Tabletop Frames
287,2020-07-09,51200.0,Wall & Tabletop Frames
288,2020-07-10,51200.0,Wall & Tabletop Frames
289,2020-07-11,51200.0,Wall & Tabletop Frames
290,2020-07-12,51200.0,Wall & Tabletop Frames
291,2020-07-13,57924.0,Wall & Tabletop Frames
292,2020-07-14,57924.0,Wall & Tabletop Frames
293,2020-07-15,36653.0,Wall & Tabletop Frames
294,2020-07-16,51637.0,Wall & Tabletop Frames
295,2020-07-17,51637.0,Wall & Tabletop Frames
296,2020-07-18,51637.0,Wall & Tabletop Frames
297,2020-07-19,51637.0,Wall & Tabletop Frames
298,2020-07-20,51637.0,Wall & Tabletop Frames
299,2020-07-21,51637.0,Wall & Tabletop Frames
300,2020-07-22,23103.0,Wall & Tabletop Frames
301,2020-07-23,23103.0,Wall & Tabletop Frames
302,2020-07-24,18390.0,Wall & Tabletop Frames
303,2020-07-25,18390.0,Wall & Tabletop Frames
304,2020-07-26,18390.0,Wall & Tabletop Frames
305,2020-07-27,18390.0,Wall & Tabletop Frames
306,2020-07-28,18390.0,Wall & Tabletop Frames
307,2020-07-29,18390.0,Wall & Tabletop Frames
308,2020-07-30,15264.0,Wall & Tabletop Frames
309,2020-07-31,11441.0,Wall & Tabletop Frames
310,2020-08-01,11441.0,Wall & Tabletop Frames
311,2020-08-02,11441.0,Wall & Tabletop Frames
312,2020-08-03,11441.0,Wall & Tabletop Frames
313,2020-08-04,13294.0,Wall & Tabletop Frames
314,2020-08-05,12032.0,Wall & Tabletop Frames
315,2020-08-06,12032.0,Wall & Tabletop Frames
316,2020-08-07,12032.0,Wall & Tabletop Frames
317,2020-08-08,12032.0,Wall & Tabletop Frames
318,2020-08-09,12932.0,Wall & Tabletop Frames
319,2020-08-10,14413.0,Wall & Tabletop Frames
320,2020-08-11,11181.0,Wall & Tabletop Frames
321,2020-08-12,11181.0,Wall & Tabletop Frames
322,2020-08-13,11009.0,Wall & Tabletop Frames
323,2020-08-14,11009.0,Wall & Tabletop Frames
324,2020-08-15,10590.0,Wall & Tabletop Frames
325,2020-08-16,10590.0,Wall & Tabletop Frames
326,2020-08-17,10590.0,Wall & Tabletop Frames
327,2020-08-18,10590.0,Wall & Tabletop Frames
328,2020-08-19,11862.0,Wall & Tabletop Frames
329,2020-08-20,11862.0,Wall & Tabletop Frames
330,2020-08-21,11862.0,Wall & Tabletop Frames
331,2020-08-22,11862.0,Wall & Tabletop Frames
332,2020-08-23,11862.0,Wall & Tabletop Frames
333,2020-08-24,10510.0,Wall & Tabletop Frames
334,2020-08-25,10510.0,Wall & Tabletop Frames
335,2020-08-26,15359.0,Wall & Tabletop Frames
336,2020-08-27,15359.0,Wall & Tabletop Frames
337,2020-08-28,11002.0,Wall & Tabletop Frames
338,2020-08-29,11002.0,Wall & Tabletop Frames
339,2020-08-30,13179.0,Wall & Tabletop Frames
340,2020-08-31,12813.0,Wall & Tabletop Frames
341,2020-09-01,12813.0,Wall & Tabletop Frames
342,2020-09-02,20773.0,Wall & Tabletop Frames
343,2020-09-03,20773.0,Wall & Tabletop Frames
344,2020-09-04,19405.0,Wall & Tabletop Frames
345,2020-09-05,19405.0,Wall & Tabletop Frames
346,2020-09-06,19405.0,Wall & Tabletop Frames
347,2020-09-07,19747.0,Wall & Tabletop Frames
348,2020-09-08,19747.0,Wall & Tabletop Frames
349,2020-09-09,19747.0,Wall & Tabletop Frames
350,2020-09-10,19747.0,Wall & Tabletop Frames
351,2020-09-11,19747.0,Wall & Tabletop Frames
352,2020-09-12,19747.0,Wall & Tabletop Frames
353,2020-09-13,17413.0,Wall & Tabletop Frames
354,2020-09-14,17733.0,Wall & Tabletop Frames
355,2020-09-15,17733.0,Wall & Tabletop Frames
356,2020-09-16,17733.0,Wall & Tabletop Frames
357,2020-09-17,14797.0,Wall & Tabletop Frames
358,2020-09-18,14797.0,Wall & Tabletop Frames
359,2020-09-19,14797.0,Wall & Tabletop Frames
360,2020-09-20,19239.0,Wall & Tabletop Frames
361,2020-09-21,16808.0,Wall & Tabletop Frames
362,2020-09-22,16808.0,Wall & Tabletop Frames
363,2020-09-23,16808.0,Wall & Tabletop Frames
364,2020-09-24,23532.0,Wall & Tabletop Frames
365,2020-09-25,23532.0,Wall & Tabletop Frames
366,2020-09-26,23532.0,Wall & Tabletop Frames
367,2020-09-27,23532.0,Wall & Tabletop Frames
368,2020-09-28,19923.0,Wall & Tabletop Frames
369,2020-09-29,14965.0,Wall & Tabletop Frames
370,2020-09-30,14965.0,Wall & Tabletop Frames
371,2020-10-01,14965.0,Wall & Tabletop Frames
372,2020-10-02,14965.0,Wall & Tabletop Frames
373,2020-10-03,14965.0,Wall & Tabletop Frames
374,2020-10-04,14965.0,Wall & Tabletop Frames
375,2020-10-05,14965.0,Wall & Tabletop Frames
376,2020-10-06,14965.0,Wall & Tabletop Frames
377,2020-10-07,24208.0,Wall & Tabletop Frames
378,2020-10-08,24208.0,Wall & Tabletop Frames
379,2020-10-09,24208.0,Wall & Tabletop Frames
380,2020-10-10,22141.0,Wall & Tabletop Frames
381,2020-10-11,22141.0,Wall & Tabletop Frames
382,2020-10-12,22141.0,Wall & Tabletop Frames
383,2020-10-13,19631.0,Wall & Tabletop Frames
384,2020-10-14,19631.0,Wall & Tabletop Frames
385,2020-10-15,19631.0,Wall & Tabletop Frames
386,2020-10-16,19631.0,Wall & Tabletop Frames
387,2020-10-17,14250.0,Wall & Tabletop Frames
388,2020-10-18,14250.0,Wall & Tabletop Frames
389,2020-10-19,14250.0,Wall & Tabletop Frames
390,2020-10-20,18890.0,Wall & Tabletop Frames
391,2020-10-21,18890.0,Wall & Tabletop Frames
392,2020-10-22,21336.0,Wall & Tabletop Frames
