,date,value,name_B07JNPRLY5
396,2021-03-26,3241.0,Lumbar Supports
397,2021-03-27,3241.0,Lumbar Supports
398,2021-03-28,3241.0,Lumbar Supports
399,2021-03-29,3391.0,Lumbar Supports
400,2021-03-30,3391.0,Lumbar Supports
401,2021-03-31,3391.0,Lumbar Supports
402,2021-04-01,3399.0,Lumbar Supports
403,2021-04-02,3399.0,Lumbar Supports
404,2021-04-03,3399.0,Lumbar Supports
405,2021-04-04,3399.0,Lumbar Supports
406,2021-04-05,3060.0,Lumbar Supports
407,2021-04-06,3060.0,Lumbar Supports
408,2021-04-07,2907.0,Lumbar Supports
409,2021-04-08,2990.0,Lumbar Supports
410,2021-04-09,2990.0,Lumbar Supports
411,2021-04-10,3610.0,Lumbar Supports
412,2021-04-11,3610.0,Lumbar Supports
413,2021-04-12,3469.0,Lumbar Supports
414,2021-04-13,3469.0,Lumbar Supports
415,2021-04-14,2703.0,Lumbar Supports
416,2021-04-15,3046.0,Lumbar Supports
417,2021-04-16,3208.0,Lumbar Supports
418,2021-04-17,3208.0,Lumbar Supports
419,2021-04-18,3798.0,Lumbar Supports
420,2021-04-19,3771.0,Lumbar Supports
421,2021-04-20,3644.0,Lumbar Supports
422,2021-04-21,3438.0,Lumbar Supports
423,2021-04-22,3438.0,Lumbar Supports
424,2021-04-23,3609.0,Lumbar Supports
425,2021-04-24,3609.0,Lumbar Supports
426,2021-04-25,3609.0,Lumbar Supports
427,2021-04-26,2844.0,Lumbar Supports
428,2021-04-27,2844.0,Lumbar Supports
429,2021-04-28,3417.0,Lumbar Supports
430,2021-04-29,2965.0,Lumbar Supports
431,2021-04-30,2910.0,Lumbar Supports
432,2021-05-01,2910.0,Lumbar Supports
433,2021-05-02,3385.0,Lumbar Supports
434,2021-05-03,2707.0,Lumbar Supports
435,2021-05-04,2707.0,Lumbar Supports
436,2021-05-05,2916.0,Lumbar Supports
437,2021-05-06,2916.0,Lumbar Supports
438,2021-05-07,2582.0,Lumbar Supports
439,2021-05-08,2582.0,Lumbar Supports
440,2021-05-09,2664.0,Lumbar Supports
441,2021-05-10,2664.0,Lumbar Supports
442,2021-05-11,2550.0,Lumbar Supports
443,2021-05-12,2550.0,Lumbar Supports
444,2021-05-13,2756.0,Lumbar Supports
445,2021-05-14,2756.0,Lumbar Supports
446,2021-05-15,2756.0,Lumbar Supports
447,2021-05-16,2867.0,Lumbar Supports
448,2021-05-17,2867.0,Lumbar Supports
449,2021-05-18,2761.0,Lumbar Supports
450,2021-05-19,2761.0,Lumbar Supports
451,2021-05-20,2655.0,Lumbar Supports
452,2021-05-21,2480.0,Lumbar Supports
453,2021-05-22,2480.0,Lumbar Supports
454,2021-05-23,2596.0,Lumbar Supports
455,2021-05-24,2596.0,Lumbar Supports
456,2021-05-25,2657.0,Lumbar Supports
457,2021-05-26,2657.0,Lumbar Supports
458,2021-05-27,2657.0,Lumbar Supports
459,2021-05-28,2723.0,Lumbar Supports
460,2021-05-29,2723.0,Lumbar Supports
461,2021-05-30,2750.0,Lumbar Supports
462,2021-05-31,2878.0,Lumbar Supports
463,2021-06-01,2878.0,Lumbar Supports
464,2021-06-02,3206.0,Lumbar Supports
465,2021-06-03,3206.0,Lumbar Supports
