,date,value,name_B00BXLQCP2
349,2021-05-09,2838.0,"Cookies, Biscuits & Snacks"
350,2021-05-10,4966.0,"Cookies, Biscuits & Snacks"
351,2021-05-11,5123.0,"Cookies, Biscuits & Snacks"
352,2021-05-12,10595.0,"Cookies, Biscuits & Snacks"
353,2021-05-13,5305.0,"Cookies, Biscuits & Snacks"
354,2021-05-14,3459.0,"Cookies, Biscuits & Snacks"
355,2021-05-15,3321.0,"Cookies, Biscuits & Snacks"
356,2021-05-16,3321.0,"Cookies, Biscuits & Snacks"
357,2021-05-17,8923.0,"Cookies, Biscuits & Snacks"
358,2021-05-18,12875.0,"Cookies, Biscuits & Snacks"
359,2021-05-19,12875.0,"Cookies, Biscuits & Snacks"
360,2021-05-20,15559.0,"Cookies, Biscuits & Snacks"
361,2021-05-21,16524.0,"Cookies, Biscuits & Snacks"
362,2021-05-22,6678.0,"Cookies, Biscuits & Snacks"
363,2021-05-23,4182.0,"Cookies, Biscuits & Snacks"
364,2021-05-24,5771.0,"Cookies, Biscuits & Snacks"
365,2021-05-25,5943.0,"Cookies, Biscuits & Snacks"
366,2021-05-26,5943.0,"Cookies, Biscuits & Snacks"
367,2021-05-27,13131.0,"Cookies, Biscuits & Snacks"
368,2021-05-28,5713.0,"Cookies, Biscuits & Snacks"
369,2021-05-29,5713.0,"Cookies, Biscuits & Snacks"
370,2021-05-30,5713.0,"Cookies, Biscuits & Snacks"
371,2021-05-31,9137.0,"Cookies, Biscuits & Snacks"
372,2021-06-01,15070.0,"Cookies, Biscuits & Snacks"
373,2021-06-02,15626.0,"Cookies, Biscuits & Snacks"
374,2021-06-03,19215.0,"Cookies, Biscuits & Snacks"
375,2021-06-04,3931.0,"Cookies, Biscuits & Snacks"
376,2021-06-05,3681.0,"Cookies, Biscuits & Snacks"
377,2021-06-06,3681.0,"Cookies, Biscuits & Snacks"
378,2021-06-07,4239.0,"Cookies, Biscuits & Snacks"
379,2021-06-08,3434.0,"Cookies, Biscuits & Snacks"
380,2021-06-09,3196.0,"Cookies, Biscuits & Snacks"
381,2021-06-10,6909.0,"Cookies, Biscuits & Snacks"
382,2021-06-11,7001.0,"Cookies, Biscuits & Snacks"
383,2021-06-12,4076.0,"Cookies, Biscuits & Snacks"
384,2021-06-13,4076.0,"Cookies, Biscuits & Snacks"
385,2021-06-14,9818.0,"Cookies, Biscuits & Snacks"
386,2021-06-15,6789.0,"Cookies, Biscuits & Snacks"
387,2021-06-16,6308.0,"Cookies, Biscuits & Snacks"
388,2021-06-17,5089.0,"Cookies, Biscuits & Snacks"
389,2021-06-18,4402.0,"Cookies, Biscuits & Snacks"
390,2021-06-19,6078.0,"Cookies, Biscuits & Snacks"
391,2021-06-20,6078.0,"Cookies, Biscuits & Snacks"
392,2021-06-21,4893.0,"Cookies, Biscuits & Snacks"
393,2021-06-22,8269.0,"Cookies, Biscuits & Snacks"
394,2021-06-23,8269.0,"Cookies, Biscuits & Snacks"
395,2021-06-24,10701.0,"Cookies, Biscuits & Snacks"
396,2021-06-25,9855.0,"Cookies, Biscuits & Snacks"
397,2021-06-26,4304.0,"Cookies, Biscuits & Snacks"
398,2021-06-27,4615.0,"Cookies, Biscuits & Snacks"
399,2021-06-28,7668.0,"Cookies, Biscuits & Snacks"
400,2021-06-29,5174.0,"Cookies, Biscuits & Snacks"
401,2021-06-30,5174.0,"Cookies, Biscuits & Snacks"
402,2021-07-01,5174.0,"Cookies, Biscuits & Snacks"
403,2021-07-02,13906.0,"Cookies, Biscuits & Snacks"
404,2021-07-03,5287.0,"Cookies, Biscuits & Snacks"
405,2021-07-04,5287.0,"Cookies, Biscuits & Snacks"
406,2021-07-05,5521.0,"Cookies, Biscuits & Snacks"
407,2021-07-06,8997.0,"Cookies, Biscuits & Snacks"
408,2021-07-07,15747.0,"Cookies, Biscuits & Snacks"
409,2021-07-08,15269.0,"Cookies, Biscuits & Snacks"
410,2021-07-09,5591.0,"Cookies, Biscuits & Snacks"
411,2021-07-10,5874.0,"Cookies, Biscuits & Snacks"
