,date,value,name_B07R1VJWPM
414,2020-08-08,115603.0,Floating Shelves
415,2020-08-09,115603.0,Floating Shelves
416,2020-08-10,115603.0,Floating Shelves
417,2020-08-11,115603.0,Floating Shelves
418,2020-08-12,115603.0,Floating Shelves
419,2020-08-13,61402.0,Floating Shelves
420,2020-08-14,26481.0,Floating Shelves
421,2020-08-15,26481.0,Floating Shelves
422,2020-08-16,26481.0,Floating Shelves
423,2020-08-17,12118.0,Floating Shelves
424,2020-08-18,11040.0,Floating Shelves
425,2020-08-19,11497.0,Floating Shelves
426,2020-08-20,11497.0,Floating Shelves
427,2020-08-21,11497.0,Floating Shelves
428,2020-08-22,6562.0,Floating Shelves
429,2020-08-23,5266.0,Floating Shelves
430,2020-08-24,4739.0,Floating Shelves
431,2020-08-25,4377.0,Floating Shelves
432,2020-08-26,4377.0,Floating Shelves
433,2020-08-27,4702.0,Floating Shelves
434,2020-08-28,3725.0,Floating Shelves
435,2020-08-29,3725.0,Floating Shelves
436,2020-08-30,3725.0,Floating Shelves
437,2020-08-31,3534.0,Floating Shelves
438,2020-09-01,3625.0,Floating Shelves
439,2020-09-02,5303.0,Floating Shelves
440,2020-09-03,4773.0,Floating Shelves
441,2020-09-04,6158.0,Floating Shelves
442,2020-09-05,6158.0,Floating Shelves
443,2020-09-06,6158.0,Floating Shelves
444,2020-09-07,12389.0,Floating Shelves
445,2020-09-08,12389.0,Floating Shelves
446,2020-09-09,12356.0,Floating Shelves
447,2020-09-10,16036.0,Floating Shelves
448,2020-09-11,16036.0,Floating Shelves
449,2020-09-12,16036.0,Floating Shelves
450,2020-09-13,16358.0,Floating Shelves
451,2020-09-14,17253.0,Floating Shelves
452,2020-09-15,9916.0,Floating Shelves
453,2020-09-16,9916.0,Floating Shelves
454,2020-09-17,9916.0,Floating Shelves
455,2020-09-18,7804.0,Floating Shelves
456,2020-09-19,7804.0,Floating Shelves
457,2020-09-20,7804.0,Floating Shelves
458,2020-09-21,6077.0,Floating Shelves
459,2020-09-22,6077.0,Floating Shelves
460,2020-09-23,6077.0,Floating Shelves
461,2020-09-24,7738.0,Floating Shelves
462,2020-09-25,7738.0,Floating Shelves
463,2020-09-26,7738.0,Floating Shelves
464,2020-09-27,5750.0,Floating Shelves
465,2020-09-28,6108.0,Floating Shelves
466,2020-09-29,6108.0,Floating Shelves
467,2020-09-30,4789.0,Floating Shelves
468,2020-10-01,4789.0,Floating Shelves
469,2020-10-02,4824.0,Floating Shelves
470,2020-10-03,4824.0,Floating Shelves
471,2020-10-04,4824.0,Floating Shelves
472,2020-10-05,4777.0,Floating Shelves
473,2020-10-06,6039.0,Floating Shelves
474,2020-10-07,6039.0,Floating Shelves
475,2020-10-08,6039.0,Floating Shelves
476,2020-10-09,5520.0,Floating Shelves
477,2020-10-10,5520.0,Floating Shelves
478,2020-10-11,5520.0,Floating Shelves
479,2020-10-12,4982.0,Floating Shelves
480,2020-10-13,4982.0,Floating Shelves
481,2020-10-14,4982.0,Floating Shelves
482,2020-10-15,12183.0,Floating Shelves
483,2020-10-16,12183.0,Floating Shelves
484,2020-10-17,12183.0,Floating Shelves
485,2020-10-18,12183.0,Floating Shelves
486,2020-10-19,12183.0,Floating Shelves
487,2020-10-20,10204.0,Floating Shelves
488,2020-10-21,7205.0,Floating Shelves
489,2020-10-22,8194.0,Floating Shelves
490,2020-10-23,8194.0,Floating Shelves
491,2020-10-24,9375.0,Floating Shelves
492,2020-10-25,9014.0,Floating Shelves
493,2020-10-26,9014.0,Floating Shelves
494,2020-10-27,5707.0,Floating Shelves
495,2020-10-28,6535.0,Floating Shelves
496,2020-10-29,6218.0,Floating Shelves
497,2020-10-30,6152.0,Floating Shelves
498,2020-10-31,6152.0,Floating Shelves
499,2020-11-01,5585.0,Floating Shelves
500,2020-11-02,5873.0,Floating Shelves
501,2020-11-03,5058.0,Floating Shelves
502,2020-11-04,4964.0,Floating Shelves
503,2020-11-05,4964.0,Floating Shelves
504,2020-11-06,4964.0,Floating Shelves
505,2020-11-07,5392.0,Floating Shelves
506,2020-11-08,5392.0,Floating Shelves
507,2020-11-09,6875.0,Floating Shelves
508,2020-11-10,6875.0,Floating Shelves
509,2020-11-11,5899.0,Floating Shelves
510,2020-11-12,5938.0,Floating Shelves
511,2020-11-13,5938.0,Floating Shelves
512,2020-11-14,6001.0,Floating Shelves
513,2020-11-15,6178.0,Floating Shelves
514,2020-11-16,5407.0,Floating Shelves
515,2020-11-17,5400.0,Floating Shelves
516,2020-11-18,5400.0,Floating Shelves
517,2020-11-19,19968.0,Floating Shelves
518,2020-11-20,19968.0,Floating Shelves
519,2020-11-21,45309.0,Floating Shelves
520,2020-11-22,45309.0,Floating Shelves
521,2020-11-23,45309.0,Floating Shelves
522,2020-11-24,15029.0,Floating Shelves
523,2020-11-25,12569.0,Floating Shelves
524,2020-11-26,13754.0,Floating Shelves
525,2020-11-27,15000.0,Floating Shelves
526,2020-11-28,15000.0,Floating Shelves
527,2020-11-29,15000.0,Floating Shelves
528,2020-11-30,10820.0,Floating Shelves
529,2020-12-01,10329.0,Floating Shelves
530,2020-12-02,10329.0,Floating Shelves
531,2020-12-03,9256.0,Floating Shelves
532,2020-12-04,9256.0,Floating Shelves
533,2020-12-05,9038.0,Floating Shelves
534,2020-12-06,9038.0,Floating Shelves
535,2020-12-07,8989.0,Floating Shelves
536,2020-12-08,7403.0,Floating Shelves
537,2020-12-09,7403.0,Floating Shelves
538,2020-12-10,7403.0,Floating Shelves
539,2020-12-11,7919.0,Floating Shelves
540,2020-12-12,7919.0,Floating Shelves
541,2020-12-13,13738.0,Floating Shelves
542,2020-12-14,15964.0,Floating Shelves
543,2020-12-15,15964.0,Floating Shelves
544,2020-12-16,18079.0,Floating Shelves
545,2020-12-17,17077.0,Floating Shelves
546,2020-12-18,16383.0,Floating Shelves
547,2020-12-19,18344.0,Floating Shelves
548,2020-12-20,18344.0,Floating Shelves
549,2020-12-21,18344.0,Floating Shelves
550,2020-12-22,18344.0,Floating Shelves
551,2020-12-23,18344.0,Floating Shelves
552,2020-12-24,20330.0,Floating Shelves
553,2020-12-25,20330.0,Floating Shelves
554,2020-12-26,20330.0,Floating Shelves
555,2020-12-27,20330.0,Floating Shelves
556,2020-12-28,20330.0,Floating Shelves
557,2020-12-29,13870.0,Floating Shelves
558,2020-12-30,11564.0,Floating Shelves
559,2020-12-31,11564.0,Floating Shelves
560,2021-01-01,8825.0,Floating Shelves
561,2021-01-02,8825.0,Floating Shelves
562,2021-01-03,5595.0,Floating Shelves
563,2021-01-04,4724.0,Floating Shelves
564,2021-01-05,4724.0,Floating Shelves
565,2021-01-06,6513.0,Floating Shelves
566,2021-01-07,6513.0,Floating Shelves
567,2021-01-08,5930.0,Floating Shelves
568,2021-01-09,5930.0,Floating Shelves
569,2021-01-10,5930.0,Floating Shelves
570,2021-01-11,4004.0,Floating Shelves
571,2021-01-12,4004.0,Floating Shelves
572,2021-01-13,4849.0,Floating Shelves
573,2021-01-14,4849.0,Floating Shelves
574,2021-01-15,4145.0,Floating Shelves
575,2021-01-16,3955.0,Floating Shelves
576,2021-01-17,4981.0,Floating Shelves
577,2021-01-18,4981.0,Floating Shelves
578,2021-01-19,3312.0,Floating Shelves
579,2021-01-20,3849.0,Floating Shelves
580,2021-01-21,4083.0,Floating Shelves
581,2021-01-22,4083.0,Floating Shelves
582,2021-01-23,4083.0,Floating Shelves
583,2021-01-24,4372.0,Floating Shelves
584,2021-01-25,3429.0,Floating Shelves
585,2021-01-26,3429.0,Floating Shelves
586,2021-01-27,3954.0,Floating Shelves
