,date,value,name_B07KBGX7MS
384,2021-06-18,8494.0,Magnesium
385,2021-06-19,8494.0,Magnesium
386,2021-06-20,7695.0,Magnesium
387,2021-06-21,9125.0,Magnesium
388,2021-06-22,9125.0,Magnesium
389,2021-06-23,9125.0,Magnesium
390,2021-06-24,9257.0,Magnesium
391,2021-06-25,9257.0,Magnesium
392,2021-06-26,8644.0,Magnesium
393,2021-06-27,8644.0,Magnesium
394,2021-06-28,8047.0,Magnesium
395,2021-06-29,8047.0,Magnesium
396,2021-06-30,8047.0,Magnesium
397,2021-07-01,7190.0,Magnesium
398,2021-07-02,7190.0,Magnesium
399,2021-07-03,7190.0,Magnesium
400,2021-07-04,7190.0,Magnesium
401,2021-07-05,8179.0,Magnesium
402,2021-07-06,8179.0,Magnesium
403,2021-07-07,8179.0,Magnesium
404,2021-07-08,8083.0,Magnesium
405,2021-07-09,8083.0,Magnesium
406,2021-07-10,7323.0,Magnesium
