,date,value,name_B08175W1C8
493,2021-04-07,21144.0,Shower Curtain Sets
494,2021-04-08,21144.0,Shower Curtain Sets
495,2021-04-09,21136.0,Shower Curtain Sets
496,2021-04-10,21136.0,Shower Curtain Sets
497,2021-04-11,21136.0,Shower Curtain Sets
498,2021-04-12,31154.0,Shower Curtain Sets
499,2021-04-13,31154.0,Shower Curtain Sets
500,2021-04-14,31154.0,Shower Curtain Sets
501,2021-04-15,31154.0,Shower Curtain Sets
502,2021-04-16,31154.0,Shower Curtain Sets
503,2021-04-17,31154.0,Shower Curtain Sets
504,2021-04-18,31154.0,Shower Curtain Sets
505,2021-04-19,31154.0,Shower Curtain Sets
506,2021-04-20,31154.0,Shower Curtain Sets
507,2021-04-21,31263.0,Shower Curtain Sets
508,2021-04-22,31263.0,Shower Curtain Sets
509,2021-04-23,31263.0,Shower Curtain Sets
510,2021-04-24,31263.0,Shower Curtain Sets
511,2021-04-25,31263.0,Shower Curtain Sets
512,2021-04-26,31263.0,Shower Curtain Sets
513,2021-04-27,31263.0,Shower Curtain Sets
514,2021-04-28,31263.0,Shower Curtain Sets
515,2021-04-29,31122.0,Shower Curtain Sets
516,2021-04-30,31122.0,Shower Curtain Sets
517,2021-05-01,31122.0,Shower Curtain Sets
518,2021-05-02,31208.0,Shower Curtain Sets
519,2021-05-03,31208.0,Shower Curtain Sets
520,2021-05-04,31208.0,Shower Curtain Sets
521,2021-05-05,31208.0,Shower Curtain Sets
522,2021-05-06,31208.0,Shower Curtain Sets
523,2021-05-07,31208.0,Shower Curtain Sets
524,2021-05-08,31208.0,Shower Curtain Sets
525,2021-05-09,31208.0,Shower Curtain Sets
526,2021-05-10,29033.0,Shower Curtain Sets
527,2021-05-11,29033.0,Shower Curtain Sets
528,2021-05-12,29033.0,Shower Curtain Sets
529,2021-05-13,29033.0,Shower Curtain Sets
530,2021-05-14,29033.0,Shower Curtain Sets
531,2021-05-15,29033.0,Shower Curtain Sets
532,2021-05-16,29235.0,Shower Curtain Sets
533,2021-05-17,29235.0,Shower Curtain Sets
534,2021-05-18,29235.0,Shower Curtain Sets
535,2021-05-19,29090.0,Shower Curtain Sets
536,2021-05-20,29185.0,Shower Curtain Sets
537,2021-05-21,29185.0,Shower Curtain Sets
538,2021-05-22,29185.0,Shower Curtain Sets
539,2021-05-23,29211.0,Shower Curtain Sets
