,date,value,name_B0866FZYFH
379,2021-06-12,265.0,Fertilizers & Plant Food
380,2021-06-13,312.0,Fertilizers & Plant Food
381,2021-06-14,356.0,Fertilizers & Plant Food
382,2021-06-15,356.0,Fertilizers & Plant Food
383,2021-06-16,233.0,Fertilizers & Plant Food
384,2021-06-17,233.0,Fertilizers & Plant Food
385,2021-06-18,279.0,Fertilizers & Plant Food
386,2021-06-19,279.0,Fertilizers & Plant Food
387,2021-06-20,320.0,Fertilizers & Plant Food
388,2021-06-21,320.0,Fertilizers & Plant Food
389,2021-06-22,149.0,Fertilizers & Plant Food
390,2021-06-23,149.0,Fertilizers & Plant Food
391,2021-06-24,177.0,Fertilizers & Plant Food
392,2021-06-25,177.0,Fertilizers & Plant Food
393,2021-06-26,177.0,Fertilizers & Plant Food
394,2021-06-27,438.0,Fertilizers & Plant Food
395,2021-06-28,482.0,Fertilizers & Plant Food
396,2021-06-29,490.0,Fertilizers & Plant Food
397,2021-06-30,445.0,Fertilizers & Plant Food
398,2021-07-01,445.0,Fertilizers & Plant Food
399,2021-07-02,445.0,Fertilizers & Plant Food
400,2021-07-03,486.0,Fertilizers & Plant Food
401,2021-07-04,486.0,Fertilizers & Plant Food
402,2021-07-05,546.0,Fertilizers & Plant Food
403,2021-07-06,546.0,Fertilizers & Plant Food
404,2021-07-07,683.0,Fertilizers & Plant Food
405,2021-07-08,542.0,Fertilizers & Plant Food
406,2021-07-09,471.0,Fertilizers & Plant Food
407,2021-07-10,471.0,Fertilizers & Plant Food
408,2021-07-11,574.0,Fertilizers & Plant Food
