,date,value,name_B07ZN47WHF
292,2020-08-20,6740.0,Duvet Covers & Sets
293,2020-08-21,7948.0,Duvet Covers & Sets
294,2020-08-22,7948.0,Duvet Covers & Sets
295,2020-08-23,7948.0,Duvet Covers & Sets
296,2020-08-24,6969.0,Duvet Covers & Sets
297,2020-08-25,6969.0,Duvet Covers & Sets
298,2020-08-26,6288.0,Duvet Covers & Sets
299,2020-08-27,6449.0,Duvet Covers & Sets
300,2020-08-28,6131.0,Duvet Covers & Sets
301,2020-08-29,6288.0,Duvet Covers & Sets
302,2020-08-30,6288.0,Duvet Covers & Sets
303,2020-08-31,5213.0,Duvet Covers & Sets
304,2020-09-01,5956.0,Duvet Covers & Sets
305,2020-09-02,5982.0,Duvet Covers & Sets
306,2020-09-03,4836.0,Duvet Covers & Sets
307,2020-09-04,6261.0,Duvet Covers & Sets
308,2020-09-05,6261.0,Duvet Covers & Sets
309,2020-09-06,6261.0,Duvet Covers & Sets
310,2020-09-07,6261.0,Duvet Covers & Sets
311,2020-09-08,7088.0,Duvet Covers & Sets
312,2020-09-09,7088.0,Duvet Covers & Sets
313,2020-09-10,7088.0,Duvet Covers & Sets
314,2020-09-11,5052.0,Duvet Covers & Sets
315,2020-09-12,4800.0,Duvet Covers & Sets
316,2020-09-13,4800.0,Duvet Covers & Sets
317,2020-09-14,5350.0,Duvet Covers & Sets
318,2020-09-15,5350.0,Duvet Covers & Sets
319,2020-09-16,5483.0,Duvet Covers & Sets
320,2020-09-17,5636.0,Duvet Covers & Sets
321,2020-09-18,4811.0,Duvet Covers & Sets
322,2020-09-19,4811.0,Duvet Covers & Sets
323,2020-09-20,4425.0,Duvet Covers & Sets
324,2020-09-21,3995.0,Duvet Covers & Sets
325,2020-09-22,3997.0,Duvet Covers & Sets
326,2020-09-23,4596.0,Duvet Covers & Sets
327,2020-09-24,5028.0,Duvet Covers & Sets
328,2020-09-25,5032.0,Duvet Covers & Sets
329,2020-09-26,5467.0,Duvet Covers & Sets
330,2020-09-27,5467.0,Duvet Covers & Sets
331,2020-09-28,4285.0,Duvet Covers & Sets
332,2020-09-29,3786.0,Duvet Covers & Sets
333,2020-09-30,3786.0,Duvet Covers & Sets
334,2020-10-01,3786.0,Duvet Covers & Sets
335,2020-10-02,4895.0,Duvet Covers & Sets
336,2020-10-03,4895.0,Duvet Covers & Sets
337,2020-10-04,3950.0,Duvet Covers & Sets
338,2020-10-05,3554.0,Duvet Covers & Sets
339,2020-10-06,3554.0,Duvet Covers & Sets
340,2020-10-07,3554.0,Duvet Covers & Sets
341,2020-10-08,3959.0,Duvet Covers & Sets
342,2020-10-09,4208.0,Duvet Covers & Sets
343,2020-10-10,3197.0,Duvet Covers & Sets
344,2020-10-11,3197.0,Duvet Covers & Sets
345,2020-10-12,4090.0,Duvet Covers & Sets
346,2020-10-13,4053.0,Duvet Covers & Sets
347,2020-10-14,3386.0,Duvet Covers & Sets
348,2020-10-15,3386.0,Duvet Covers & Sets
349,2020-10-16,3386.0,Duvet Covers & Sets
350,2020-10-17,3429.0,Duvet Covers & Sets
351,2020-10-18,3429.0,Duvet Covers & Sets
352,2020-10-19,3429.0,Duvet Covers & Sets
353,2020-10-20,3708.0,Duvet Covers & Sets
354,2020-10-21,3909.0,Duvet Covers & Sets
355,2020-10-22,4183.0,Duvet Covers & Sets
356,2020-10-23,3925.0,Duvet Covers & Sets
357,2020-10-24,3686.0,Duvet Covers & Sets
358,2020-10-25,3753.0,Duvet Covers & Sets
359,2020-10-26,3471.0,Duvet Covers & Sets
360,2020-10-27,3652.0,Duvet Covers & Sets
361,2020-10-28,4299.0,Duvet Covers & Sets
362,2020-10-29,4051.0,Duvet Covers & Sets
363,2020-10-30,4099.0,Duvet Covers & Sets
364,2020-10-31,4273.0,Duvet Covers & Sets
